cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
       306, 3.945086896E-02, 1.129994616E-01, 2.153512412E+05, 6.680315629E+02, 3.524138330E-01,-1.348675123E+05, 6.863097078E-04
       307, 3.913591057E-02, 1.136092246E-01, 2.143497644E+05, 6.682416560E+02, 3.532131560E-01,-1.337557187E+05, 6.862991625E-04
       308, 3.881656751E-02, 1.142166927E-01, 2.133896255E+05, 6.684756603E+02, 3.564855307E-01,-1.339438235E+05, 6.862879690E-04
       309, 3.849253431E-02, 1.148216501E-01, 2.125988884E+05, 6.686501289E+02, 3.569340500E-01,-1.323384829E+05, 6.862842567E-04
       310, 3.816350922E-02, 1.154239252E-01, 2.119986831E+05, 6.688182902E+02, 3.565656177E-01,-1.307729932E+05, 6.862967341E-04
       311, 3.782918677E-02, 1.160232946E-01, 2.114614103E+05, 6.690562027E+02, 3.599461932E-01,-1.324815816E+05, 6.863346879E-04
       312, 3.748925775E-02, 1.166195720E-01, 2.107089272E+05, 6.691899245E+02, 3.580651192E-01,-1.308832433E+05, 6.864078876E-04
       313, 3.714341670E-02, 1.172125265E-01, 2.097910697E+05, 6.692746324E+02, 3.555713606E-01,-1.281099839E+05, 6.864970040E-04
       314, 3.679130971E-02, 1.178018600E-01, 2.089068495E+05, 6.694772896E+02, 3.610298756E-01,-1.301268146E+05, 6.865427894E-04
       315, 3.643256426E-02, 1.183872074E-01, 2.079099743E+05, 6.695741079E+02, 3.613747594E-01,-1.288806712E+05, 6.865511264E-04
       316, 3.606680036E-02, 1.189681962E-01, 2.070175685E+05, 6.696027305E+02, 3.589230986E-01,-1.252763706E+05, 6.865401365E-04
       317, 3.569364175E-02, 1.195444465E-01, 2.064128253E+05, 6.697995738E+02, 3.659283382E-01,-1.282008869E+05, 6.865291777E-04
       318, 3.531271219E-02, 1.201155856E-01, 2.056938692E+05, 6.699062832E+02, 3.668501490E-01,-1.279413975E+05, 6.865388477E-04
       319, 3.492362797E-02, 1.206812337E-01, 2.048555636E+05, 6.699731392E+02, 3.679012705E-01,-1.271624922E+05, 6.865909800E-04
       320, 3.452601656E-02, 1.212410256E-01, 2.039549214E+05, 6.700137084E+02, 3.691614621E-01,-1.260813713E+05, 6.867086341E-04
       321, 3.411949798E-02, 1.217945740E-01, 2.031560584E+05, 6.699907685E+02, 3.675504545E-01,-1.224177900E+05, 6.869158225E-04
       322, 3.370368853E-02, 1.223414689E-01, 2.029055571E+05, 6.701607533E+02, 3.756049626E-01,-1.246958999E+05, 6.871587856E-04
       323, 3.327820450E-02, 1.228810921E-01, 2.028960467E+05, 6.703028304E+02, 3.783268831E-01,-1.250681719E+05, 6.872790088E-04
       324, 3.284264728E-02, 1.234126985E-01, 2.031113196E+05, 6.704300799E+02, 3.807105191E-01,-1.247289308E+05, 6.872903269E-04
       325, 3.239662573E-02, 1.239355281E-01, 2.034810418E+05, 6.705625057E+02, 3.817464972E-01,-1.245783818E+05, 6.872385842E-04
       326, 3.193974122E-02, 1.244487986E-01, 2.037652640E+05, 6.706898039E+02, 3.811433135E-01,-1.241010663E+05, 6.871728598E-04
       327, 3.147159889E-02, 1.249517575E-01, 2.036596018E+05, 6.708139717E+02, 3.810778290E-01,-1.231780911E+05, 6.871454948E-04
       328, 3.099180572E-02, 1.254436374E-01, 2.032332737E+05, 6.709542873E+02, 3.823744911E-01,-1.220382658E+05, 6.872120837E-04
       329, 3.049996309E-02, 1.259236783E-01, 2.029247825E+05, 6.711323638E+02, 3.870429453E-01,-1.210296230E+05, 6.874314199E-04
       330, 2.999567799E-02, 1.263910830E-01, 2.031983736E+05, 6.713585207E+02, 3.923095782E-01,-1.203829323E+05, 6.878647205E-04
       331, 2.947861701E-02, 1.268450469E-01, 2.041187815E+05, 6.716203406E+02, 3.972081469E-01,-1.195852837E+05, 6.884005477E-04
       332, 2.894866467E-02, 1.272845417E-01, 2.056642918E+05, 6.719079252E+02, 4.007180215E-01,-1.184386336E+05, 6.886964334E-04
       333, 2.840586752E-02, 1.277083457E-01, 2.080358509E+05, 6.722841813E+02, 4.063872019E-01,-1.191234746E+05, 6.887697915E-04
       334, 2.785029821E-02, 1.281152666E-01, 2.105638735E+05, 6.726967835E+02, 4.092128951E-01,-1.199947179E+05, 6.887030578E-04
       335, 2.728203125E-02, 1.285040826E-01, 2.131764398E+05, 6.730428958E+02, 4.073725740E-01,-1.175123910E+05, 6.885850499E-04
       336, 2.670113184E-02, 1.288735569E-01, 2.157322421E+05, 6.734402904E+02, 4.064228517E-01,-1.159997505E+05, 6.885110902E-04
       337, 2.610767819E-02, 1.292224973E-01, 2.179249499E+05, 6.738986298E+02, 4.091711116E-01,-1.153878888E+05, 6.885830118E-04
       338, 2.550173737E-02, 1.295496821E-01, 2.207224614E+05, 6.743961329E+02, 4.133408436E-01,-1.147390230E+05, 6.889090167E-04
       339, 2.488338575E-02, 1.298538744E-01, 2.239366878E+05, 6.750231273E+02, 4.238191632E-01,-1.181299941E+05, 6.896016931E-04
